Date ,close 
9/2/2024,499.35
9/3/2024,502.9
9/4/2024,508.7
9/5/2024,512
9/6/2024,507.75
9/9/2024,512.35
9/10/2024,518.65
9/11/2024,523.65
9/12/2024,518.05
9/13/2024,526.7
9/16/2024,526.35
9/17/2024,518.25
9/18/2024,510.9
9/19/2024,518.45
9/20/2024,515.6
9/23/2024,520.05
9/24/2024,528.65
9/25/2024,544.55
9/26/2024,564.25
9/27/2024,547.55
9/30/2024,547.85
10/1/2024,550.75
10/3/2024,525.8
10/4/2024,511.55
10/7/2024,502.25
10/8/2024,508.95
10/9/2024,507.15
10/10/2024,506.3
10/11/2024,505.05
10/14/2024,503.55
10/15/2024,515
10/16/2024,518.8
10/17/2024,504.25
10/18/2024,505.75
10/21/2024,510.3
10/22/2024,497.1
10/23/2024,493.8
10/24/2024,487.5
10/25/2024,480.05
10/28/2024,486.4
10/29/2024,499.05
10/30/2024,497.6
10/31/2024,504.95
11/1/2024,503.2
11/4/2024,485.2
11/5/2024,482.45
11/6/2024,490.4
11/7/2024,497.5
11/8/2024,491.05
11/11/2024,483.25
11/12/2024,471.35
11/13/2024,456.6
11/14/2024,475.3
11/18/2024,472.05
11/19/2024,486.25
11/21/2024,481.3
11/22/2024,495
11/25/2024,503.8
11/26/2024,519.95
11/27/2024,513.15
11/28/2024,510.4
11/29/2024,509.65
12/2/2024,513.75
12/3/2024,521.45
12/4/2024,534.45
12/5/2024,540.45
12/6/2024,541.8
12/9/2024,549.1
12/10/2024,541.2
12/11/2024,541.35
12/12/2024,541
12/13/2024,547.8
12/16/2024,540.1
12/17/2024,532.85
12/18/2024,530.75
12/19/2024,530
12/20/2024,531.95
12/23/2024,532.1
12/24/2024,534.8
12/26/2024,542.25
12/27/2024,540.7
12/30/2024,536.65
12/31/2024,529.4
1/1/2025,527.55
1/2/2025,526.55
1/3/2025,511.95
1/6/2025,500.75
1/7/2025,498.1
1/8/2025,482.9
1/9/2025,475.6
1/10/2025,462
1/13/2025,443.15
1/14/2025,452.8
1/15/2025,454.75
1/16/2025,455.6
1/17/2025,452.8
1/20/2025,451.3
1/21/2025,447.6
1/22/2025,439
1/23/2025,438.9
1/24/2025,423.4
1/27/2025,419.55
1/28/2025,423.75
1/29/2025,423.95
1/30/2025,432.8
1/31/2025,437.3
2/1/2025,426.35
2/3/2025,414.65
2/4/2025,421.95
2/5/2025,420.1
2/6/2025,416.4
2/7/2025,426.15
2/10/2025,422.7
2/11/2025,417.55
2/12/2025,412.8
2/13/2025,420.7
2/14/2025,413.2
2/17/2025,416.3
2/18/2025,412.1
2/19/2025,413.4
2/20/2025,418.4
2/21/2025,408.65
2/24/2025,401.35
2/25/2025,398.95
2/27/2025,389.95
2/28/2025,374.3
3/3/2025,387.3
3/4/2025,378.7
3/5/2025,389.45
3/6/2025,400.85
3/7/2025,411.7
3/10/2025,408.8
3/11/2025,402.1
3/12/2025,407.35
3/13/2025,400.95
3/17/2025,402.3
3/18/2025,410.1
3/19/2025,425.05
3/20/2025,427
3/21/2025,425.85
3/24/2025,432.95
3/25/2025,432.2
3/26/2025,429.6
3/27/2025,428
3/28/2025,426.05
4/1/2025,422.55
4/2/2025,428.25
4/3/2025,423.25
4/4/2025,407.95
4/7/2025,397.45
4/8/2025,401.45
4/9/2025,407.8
4/11/2025,427.75
4/15/2025,439.1
4/16/2025,448.2
4/17/2025,451.75
4/21/2025,460.8
4/22/2025,462.4
4/23/2025,460.15
4/24/2025,470.45
4/25/2025,461.4
4/28/2025,459.45
4/29/2025,455.95
4/30/2025,471.9
5/2/2025,478.3
5/5/2025,487.8
5/6/2025,482.85
5/7/2025,494.75
5/8/2025,484.6
5/9/2025,466.6
5/12/2025,481
5/13/2025,472.4
5/14/2025,475.35
5/15/2025,480.45
5/16/2025,494.25
5/19/2025,488.55
5/20/2025,489.35
5/21/2025,488.1
5/22/2025,491.85
5/23/2025,494.7
5/26/2025,495.15
5/27/2025,494
5/28/2025,493.85
5/29/2025,479.35
5/30/2025,470.55
6/2/2025,471.5
6/3/2025,465.5
6/4/2025,458.15
6/5/2025,462.65
6/6/2025,471.2
6/9/2025,472.45
6/10/2025,467.9
6/11/2025,462.45
6/12/2025,457.15
6/13/2025,451.95
6/16/2025,447.55
6/17/2025,445.2
6/18/2025,445.4
6/19/2025,447.1
6/20/2025,439.8
6/23/2025,443.5
6/24/2025,446.45
6/25/2025,451.05
6/26/2025,446.6
6/27/2025,447.35
6/30/2025,448.8
7/1/2025,447.7
7/2/2025,466.8
7/3/2025,462.6
7/4/2025,459.15
7/7/2025,460.4
7/8/2025,471.75
7/9/2025,473.9
7/10/2025,472.25
7/11/2025,458.6
7/14/2025,453.5
7/15/2025,459.45
7/16/2025,455.2
7/17/2025,458.15
7/18/2025,455.15
7/21/2025,450.55
7/22/2025,449.55
7/23/2025,457.95
7/24/2025,459.1
7/25/2025,455.05
7/28/2025,451.95
7/29/2025,455.9
7/30/2025,460.05
7/31/2025,449.7
8/1/2025,440.85
8/4/2025,441.45
8/5/2025,439.85
8/6/2025,435.1
8/7/2025,436.25
8/8/2025,434.2
8/11/2025,438.9
8/12/2025,446.65
8/13/2025,444.65
8/14/2025,432.3
8/18/2025,464.45
8/19/2025,466.3
8/20/2025,467.3
8/21/2025,464.7
8/22/2025,465.75
8/25/2025,465.8
8/26/2025,456.55
8/28/2025,457.55
8/29/2025,462.2
